epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4599,1.59682,2.63394,1.602,0.40984,0.50825,0.44758,0.22,1.70829,1.60146,1.75862,0.000301616,0.000301616,0.000301616
2,139.431,1.41595,1.6844,1.42883,0.6066,0.54726,0.57259,0.27904,1.64214,1.3562,1.69116,0.000584664,0.000584664,0.000584664
3,203.419,1.38205,1.45733,1.39821,0.61975,0.6818,0.64622,0.33097,1.57482,1.32938,1.64117,0.000847714,0.000847714,0.000847714
4,268.271,1.33632,1.30662,1.37275,0.59983,0.69876,0.6771,0.34951,1.56133,1.21511,1.61961,0.000819009,0.000819009,0.000819009
5,332.692,1.29404,1.1971,1.3439,0.77713,0.70087,0.74636,0.37946,1.59898,1.14041,1.62993,0.000789012,0.000789012,0.000789012
6,397.555,1.25897,1.12238,1.31612,0.79475,0.70678,0.76756,0.4015,1.50958,0.98869,1.54654,0.000759015,0.000759015,0.000759015
7,461.666,1.22074,1.07479,1.30182,0.81324,0.7091,0.78299,0.43185,1.47326,0.94877,1.51079,0.000729018,0.000729018,0.000729018
8,525.953,1.21498,1.01857,1.28872,0.68829,0.76953,0.77099,0.43083,1.44511,1.04928,1.52747,0.000699021,0.000699021,0.000699021
9,590.424,1.18913,0.98151,1.27247,0.79728,0.72159,0.77478,0.42458,1.47524,0.9313,1.53644,0.000669024,0.000669024,0.000669024
10,655.028,1.17184,0.96391,1.26494,0.78015,0.76364,0.79683,0.43538,1.44132,0.89456,1.51766,0.000639027,0.000639027,0.000639027
11,719.382,1.15058,0.92331,1.24584,0.75096,0.8173,0.80468,0.4523,1.41775,0.89824,1.49085,0.00060903,0.00060903,0.00060903
12,783.916,1.13091,0.90636,1.23825,0.7955,0.75384,0.79532,0.44218,1.43913,0.89818,1.51591,0.000579033,0.000579033,0.000579033
13,848.73,1.11556,0.87987,1.23075,0.82688,0.79566,0.83198,0.46339,1.47255,0.86155,1.50327,0.000549036,0.000549036,0.000549036
14,913.821,1.12147,0.87009,1.23453,0.81486,0.77398,0.8206,0.46695,1.38349,0.85002,1.48039,0.000519039,0.000519039,0.000519039
15,978.736,1.09693,0.84575,1.21384,0.78934,0.76651,0.81754,0.45841,1.40262,0.83151,1.47455,0.000489042,0.000489042,0.000489042
16,1043.41,1.07621,0.84072,1.2093,0.82984,0.78669,0.83149,0.47002,1.41201,0.81887,1.47002,0.000459045,0.000459045,0.000459045
17,1108.32,1.05906,0.80648,1.19576,0.8446,0.77775,0.83541,0.47525,1.40706,0.80398,1.46403,0.000429048,0.000429048,0.000429048
18,1173.64,1.05791,0.79468,1.18956,0.83051,0.79241,0.84173,0.48257,1.37257,0.79477,1.44537,0.000399051,0.000399051,0.000399051
19,1238.29,1.03229,0.77262,1.17886,0.77651,0.82974,0.83613,0.47768,1.40836,0.78763,1.46728,0.000369054,0.000369054,0.000369054
20,1302.95,1.02952,0.76323,1.17374,0.81111,0.80108,0.83878,0.48116,1.38775,0.79362,1.45802,0.000339057,0.000339057,0.000339057
21,1366.41,1.01121,0.66822,1.21727,0.79352,0.81297,0.83143,0.48525,1.37011,0.77283,1.44292,0.00030906,0.00030906,0.00030906
22,1426.45,0.98669,0.63821,1.20738,0.78454,0.83315,0.82749,0.48372,1.36679,0.75712,1.44463,0.000279063,0.000279063,0.000279063
23,1487.55,0.96717,0.62071,1.18719,0.83483,0.8247,0.84736,0.49798,1.36044,0.73535,1.4361,0.000249066,0.000249066,0.000249066
24,1548.65,0.95294,0.60106,1.1781,0.80679,0.83222,0.84081,0.49664,1.34121,0.73893,1.41724,0.000219069,0.000219069,0.000219069
25,1608.65,0.94338,0.59132,1.16855,0.80673,0.83459,0.84194,0.49837,1.34028,0.72697,1.41253,0.000189072,0.000189072,0.000189072
26,1670.06,0.92418,0.57463,1.15911,0.81067,0.81393,0.83458,0.48656,1.35011,0.73712,1.42973,0.000159075,0.000159075,0.000159075
27,1731.27,0.90877,0.55726,1.14485,0.80879,0.8298,0.8339,0.49405,1.33697,0.72001,1.42656,0.000129078,0.000129078,0.000129078
28,1791.49,0.89501,0.54735,1.14107,0.82574,0.81531,0.84932,0.50158,1.32557,0.70623,1.41462,9.9081e-05,9.9081e-05,9.9081e-05
29,1852.59,0.88559,0.53755,1.13757,0.80376,0.82911,0.84395,0.49966,1.34478,0.70538,1.42582,6.9084e-05,6.9084e-05,6.9084e-05
30,1913.54,0.87498,0.52737,1.12988,0.80858,0.83817,0.84955,0.49852,1.32629,0.70099,1.4158,3.9087e-05,3.9087e-05,3.9087e-05
