epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.56,1.49227,2.05263,1.51072,0.48625,0.49978,0.45565,0.21513,1.6561,1.85623,1.75141,0.000664251,0.000664251,0.000664251
2,190.492,1.68809,1.96943,1.68227,0.48693,0.38699,0.37419,0.15553,2.06784,1.99624,2.04347,0.001287,0.001287,0.001287
3,279.917,1.73513,1.99377,1.71411,0.40887,0.39032,0.36841,0.15995,1.85654,1.93217,1.91157,0.00186574,0.00186574,0.00186574
4,369.705,1.70694,1.90961,1.69964,0.479,0.43175,0.4202,0.19186,1.88099,2.55355,1.98519,0.001802,0.001802,0.001802
5,459.344,1.6374,1.81589,1.65558,0.6531,0.53772,0.58292,0.28761,1.71836,1.61906,1.79128,0.001736,0.001736,0.001736
6,548.436,1.58651,1.72565,1.60646,0.66563,0.56694,0.62646,0.3278,1.58143,1.42223,1.69337,0.00167,0.00167,0.00167
7,637.712,1.54227,1.64691,1.58282,0.67428,0.4976,0.56924,0.30735,1.58828,1.56083,1.69357,0.001604,0.001604,0.001604
8,727.002,1.51342,1.61006,1.56258,0.73008,0.61221,0.68069,0.36802,1.49484,1.35665,1.60285,0.001538,0.001538,0.001538
9,815.977,1.45522,1.54631,1.52238,0.65851,0.60887,0.65027,0.36887,1.45715,1.32746,1.55753,0.001472,0.001472,0.001472
10,905.402,1.46681,1.50358,1.51211,0.66155,0.56912,0.59558,0.32075,1.54473,1.43866,1.6801,0.001406,0.001406,0.001406
11,995.545,1.42294,1.46865,1.49309,0.7632,0.59834,0.6935,0.40588,1.43564,1.2436,1.54653,0.00134,0.00134,0.00134
12,1086.24,1.40453,1.4242,1.46541,0.68551,0.63323,0.68077,0.39626,1.40002,1.23998,1.50571,0.001274,0.001274,0.001274
13,1175.96,1.38106,1.39343,1.45469,0.79485,0.6171,0.71624,0.42599,1.39508,1.15811,1.51284,0.001208,0.001208,0.001208
14,1266.4,1.37332,1.36915,1.4444,0.74772,0.64719,0.72232,0.42667,1.36433,1.15028,1.48729,0.001142,0.001142,0.001142
15,1358.67,1.34926,1.33043,1.42838,0.75522,0.65809,0.73835,0.45233,1.32273,1.11115,1.44223,0.001076,0.001076,0.001076
16,1449.57,1.32796,1.29092,1.40113,0.75832,0.64283,0.72845,0.43753,1.34976,1.11724,1.47916,0.00101,0.00101,0.00101
17,1541.12,1.29543,1.26371,1.38815,0.77222,0.65647,0.74463,0.44559,1.31438,1.11164,1.44326,0.000944,0.000944,0.000944
18,1634,1.30897,1.23399,1.385,0.77578,0.67379,0.75573,0.46417,1.29721,1.03989,1.42708,0.000878,0.000878,0.000878
19,1727.27,1.2726,1.21542,1.37202,0.79181,0.68426,0.77392,0.46604,1.29999,1.03775,1.42836,0.000812,0.000812,0.000812
20,1818.98,1.25428,1.1836,1.36167,0.766,0.66376,0.75052,0.45927,1.27812,1.05803,1.41665,0.000746,0.000746,0.000746
21,1909.47,1.23725,1.06796,1.34836,0.78678,0.68644,0.76924,0.47305,1.27726,1.02088,1.41293,0.00068,0.00068,0.00068
22,1997.81,1.20593,1.02621,1.32733,0.80778,0.66526,0.76678,0.469,1.29357,1.01633,1.43608,0.000614,0.000614,0.000614
23,2085.24,1.19022,0.99226,1.31755,0.81595,0.67863,0.77239,0.48101,1.25606,0.98665,1.39591,0.000548,0.000548,0.000548
24,2172.12,1.17289,0.95757,1.309,0.79649,0.70039,0.7831,0.49786,1.22697,0.95964,1.36202,0.000482,0.000482,0.000482
25,2259.19,1.14221,0.93355,1.28001,0.81378,0.69211,0.7916,0.50073,1.21574,0.93899,1.34751,0.000416,0.000416,0.000416
26,2347.55,1.11449,0.90215,1.26559,0.81479,0.70606,0.79489,0.50932,1.20493,0.91826,1.35511,0.00035,0.00035,0.00035
27,2434.94,1.10986,0.88054,1.26195,0.82684,0.6976,0.7958,0.5102,1.2018,0.91741,1.3481,0.000284,0.000284,0.000284
28,2522.96,1.07678,0.84892,1.24141,0.82676,0.70999,0.80572,0.5163,1.19577,0.89481,1.3474,0.000218,0.000218,0.000218
29,2610.5,1.06445,0.83619,1.22892,0.81071,0.71478,0.80176,0.51866,1.1893,0.87953,1.34587,0.000152,0.000152,0.000152
30,2698.05,1.04141,0.79955,1.21642,0.81444,0.72162,0.80867,0.52425,1.18017,0.87318,1.33611,8.6e-05,8.6e-05,8.6e-05
