epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1984,1.38257,4.96121,1.61076,0.01676,0.18181,0.02819,0.02033,1.24575,4.21562,1.39086,4.45909e-05,4.45909e-05,4.45909e-05
2,91.9926,1.25493,4.40698,1.49354,0.53657,0.12666,0.09643,0.05869,1.30797,3.41226,1.47314,8.8704e-05,8.8704e-05,8.8704e-05
3,133.914,1.25007,3.92284,1.49408,0.50927,0.19476,0.14801,0.10032,1.24526,3.12985,1.43987,0.000131926,0.000131926,0.000131926
4,175.609,1.20865,3.57398,1.46948,0.39557,0.26615,0.2142,0.14625,1.26147,2.884,1.45798,0.00013099,0.00013099,0.00013099
5,218.657,1.22044,3.36444,1.47134,0.30713,0.31657,0.25012,0.17781,1.32497,2.73754,1.5171,0.000129654,0.000129654,0.000129654
6,261.111,1.1901,3.14279,1.44674,0.35291,0.31619,0.26875,0.19273,1.25541,2.54055,1.42236,0.000128318,0.000128318,0.000128318
7,302.794,1.14228,2.97927,1.42227,0.39453,0.31635,0.31129,0.22186,1.19454,2.43135,1.39878,0.000126981,0.000126981,0.000126981
8,344.979,1.15034,2.84825,1.4162,0.44364,0.36652,0.35279,0.25605,1.19326,2.25857,1.37435,0.000125644,0.000125644,0.000125644
9,387.538,1.13652,2.72253,1.39462,0.46405,0.3805,0.4035,0.27838,1.28952,2.25091,1.46046,0.000124308,0.000124308,0.000124308
10,429.251,1.13144,2.65642,1.39348,0.53615,0.36187,0.40006,0.27569,1.26898,2.12164,1.43905,0.000122972,0.000122972,0.000122972
11,470.932,1.09971,2.54466,1.37728,0.5267,0.39338,0.42846,0.29926,1.20892,2.07028,1.38612,0.000121635,0.000121635,0.000121635
12,513.007,1.0864,2.48458,1.34814,0.52326,0.41758,0.44754,0.31328,1.252,2.01681,1.42188,0.000120299,0.000120299,0.000120299
13,555.417,1.08058,2.38991,1.3436,0.56007,0.40036,0.45227,0.30915,1.23499,2.03528,1.4005,0.000118962,0.000118962,0.000118962
14,597.814,1.06559,2.33431,1.34652,0.58391,0.39274,0.46457,0.32552,1.22167,1.94126,1.39174,0.000117625,0.000117625,0.000117625
15,639.617,1.0496,2.22939,1.33456,0.58888,0.41372,0.51768,0.34543,1.24727,1.88023,1.39684,0.000116289,0.000116289,0.000116289
16,681.372,1.05501,2.19221,1.33871,0.52404,0.47956,0.50674,0.3616,1.15159,1.82883,1.335,0.000114953,0.000114953,0.000114953
17,724.686,1.02707,2.10245,1.31407,0.52368,0.47608,0.52051,0.37978,1.13601,1.80216,1.31123,0.000113616,0.000113616,0.000113616
18,766.101,1.02116,2.07458,1.30206,0.54536,0.49729,0.52419,0.37566,1.17875,1.77411,1.33109,0.000112279,0.000112279,0.000112279
19,807.27,1.01637,2.03512,1.31315,0.64576,0.45084,0.53871,0.38961,1.14041,1.74213,1.32228,0.000110943,0.000110943,0.000110943
20,848.988,0.99682,1.96174,1.29879,0.57527,0.50058,0.54276,0.39122,1.11997,1.66935,1.30453,0.000109607,0.000109607,0.000109607
21,891.105,1.00558,1.93301,1.29801,0.61468,0.51416,0.55558,0.40472,1.13832,1.63679,1.29825,0.00010827,0.00010827,0.00010827
22,932.619,0.99925,1.9015,1.28069,0.6519,0.46469,0.53388,0.39139,1.14173,1.64767,1.31885,0.000106934,0.000106934,0.000106934
23,974.589,0.99316,1.89263,1.28891,0.65251,0.49578,0.58795,0.40984,1.17926,1.67064,1.35781,0.000105597,0.000105597,0.000105597
24,1016.34,0.994,1.86373,1.29291,0.63484,0.52042,0.58258,0.42987,1.05657,1.57261,1.24967,0.000104261,0.000104261,0.000104261
25,1057.24,0.98589,1.82441,1.2896,0.61323,0.52491,0.57017,0.42696,1.08562,1.5592,1.27358,0.000102924,0.000102924,0.000102924
26,1100.78,0.97486,1.77352,1.27707,0.72381,0.48425,0.60323,0.43277,1.11483,1.55114,1.28335,0.000101587,0.000101587,0.000101587
27,1142.7,0.96872,1.75704,1.26762,0.72868,0.48841,0.59172,0.43968,1.08331,1.51964,1.28088,0.000100251,0.000100251,0.000100251
28,1184.47,0.98108,1.73065,1.2758,0.60416,0.55125,0.58569,0.42492,1.10308,1.5276,1.30628,9.89145e-05,9.89145e-05,9.89145e-05
29,1225.79,0.96091,1.69888,1.26805,0.68078,0.50773,0.59702,0.43071,1.15149,1.53541,1.34145,9.7578e-05,9.7578e-05,9.7578e-05
30,1268.54,0.96612,1.68616,1.26644,0.72726,0.48805,0.5927,0.44365,1.04247,1.53438,1.25636,9.62415e-05,9.62415e-05,9.62415e-05
31,1310.34,0.95861,1.67765,1.26719,0.61682,0.58448,0.61886,0.44722,1.1166,1.50625,1.29835,9.4905e-05,9.4905e-05,9.4905e-05
32,1352.07,0.93992,1.65507,1.24752,0.61853,0.58737,0.62499,0.45416,1.06321,1.47234,1.27407,9.35685e-05,9.35685e-05,9.35685e-05
33,1394.38,0.94673,1.61279,1.25548,0.64695,0.51828,0.61947,0.45383,1.09531,1.4666,1.30368,9.2232e-05,9.2232e-05,9.2232e-05
34,1438.26,0.9499,1.60655,1.25413,0.72297,0.54127,0.62512,0.44741,1.11066,1.50451,1.30516,9.08955e-05,9.08955e-05,9.08955e-05
35,1482.02,0.93381,1.58197,1.24983,0.62433,0.60502,0.62573,0.45914,1.10804,1.49031,1.29772,8.9559e-05,8.9559e-05,8.9559e-05
36,1525.09,0.92773,1.55545,1.24326,0.65379,0.5637,0.61751,0.46214,1.03838,1.43486,1.24653,8.82225e-05,8.82225e-05,8.82225e-05
37,1568.74,0.92659,1.54924,1.23104,0.66602,0.56296,0.62398,0.4615,1.06509,1.42595,1.26079,8.6886e-05,8.6886e-05,8.6886e-05
38,1611.47,0.9274,1.54613,1.24747,0.65262,0.56111,0.61414,0.46499,1.01627,1.44726,1.22826,8.55495e-05,8.55495e-05,8.55495e-05
39,1654.09,0.92142,1.49527,1.2329,0.65695,0.57528,0.63082,0.45255,1.12459,1.46986,1.32274,8.4213e-05,8.4213e-05,8.4213e-05
40,1696.74,0.93041,1.49088,1.23807,0.61108,0.58363,0.60885,0.45044,1.0488,1.45194,1.25561,8.28765e-05,8.28765e-05,8.28765e-05
41,1738.88,0.93013,1.46491,1.23842,0.71069,0.52555,0.62864,0.45494,1.11085,1.41979,1.30123,8.154e-05,8.154e-05,8.154e-05
42,1781.36,0.9116,1.45971,1.2287,0.65779,0.57413,0.62042,0.45569,1.08605,1.43589,1.27742,8.02035e-05,8.02035e-05,8.02035e-05
43,1823.77,0.91883,1.44587,1.21942,0.64514,0.58965,0.61486,0.44556,1.08587,1.43187,1.27079,7.8867e-05,7.8867e-05,7.8867e-05
